,RNA_NAME,Regression coefficient,R-square
403,hsa-mir-579,0.01629,0.00046039
404,hsa-mir-4755,0.0325,0.00045506
405,hsa-mir-2277,0.01431,0.00045103
406,hsa-mir-3617,0.03227,0.00044271
407,hsa-mir-4638,0.01534,0.00043176
408,hsa-mir-5579,0.01704,0.00042964
409,hsa-mir-134,0.00458,0.00042753
410,hsa-mir-662,0.04233,0.00042665
411,hsa-mir-6868,0.02118,0.00042605
412,hsa-mir-320e,0.03773,0.00042426
413,hsa-mir-3620,0.02743,0.00041803
414,hsa-mir-6777,0.02135,0.00041267
415,hsa-mir-876,0.01852,0.00040686
416,hsa-mir-216a,0.00702,0.00039636
417,hsa-mir-4745,0.01989,0.00037806
418,hsa-mir-548o-2,0.02366,0.00037785
419,hsa-mir-5090,0.02539,0.00037754
420,hsa-mir-4778,0.02092,0.00037499
421,hsa-mir-148a,0.00501,0.00037387
422,hsa-mir-6808,0.0219,0.00036472
423,hsa-mir-219a-1,0.00771,0.00035894
424,hsa-mir-9-3,0.00242,0.00035214
425,hsa-mir-6735,0.0321,0.00034982
426,hsa-mir-3074,0.00733,0.00034916
427,hsa-mir-6853,0.05087,0.00034697
428,hsa-mir-934,0.0053,0.00034691
429,hsa-mir-6716,0.017,0.00034518
430,hsa-mir-6842,0.009,0.00033959
431,hsa-mir-105-2,0.00286,0.00033553
432,hsa-mir-643,0.01449,0.00033534
433,hsa-mir-3138,0.03453,0.00033414
434,hsa-mir-4726,0.02383,0.00033327
435,hsa-mir-125a,0.00743,0.0003274
436,hsa-mir-6837,0.01512,0.0003266
437,hsa-mir-1295b,0.01356,0.00032591
438,hsa-mir-6809,0.07044,0.00032564
439,hsa-mir-3940,0.00988,0.0003216
440,hsa-mir-548f-4,0.05594,0.0003201
441,hsa-mir-520f,0.00424,0.00031191
442,hsa-mir-6774,0.03974,0.00031179
443,hsa-mir-455,0.00501,0.00029734
444,hsa-mir-548az,0.04859,0.00029317
445,hsa-mir-765,0.02222,0.00028315
446,hsa-mir-149,0.00389,0.00028033
447,hsa-mir-4789,0.03691,0.00027643
448,hsa-mir-4469,0.02991,0.00027209
449,hsa-mir-483,0.00337,0.00026905
450,hsa-mir-211,0.00684,0.00026843
451,hsa-mir-6827,0.04209,0.00026329
452,hsa-mir-3065,0.00398,0.00026327
453,hsa-mir-656,0.00737,0.00026062
454,hsa-mir-1193,0.03224,0.00025649
455,hsa-mir-769,0.00906,0.00025621
456,hsa-mir-3124,0.03483,0.00025336
457,hsa-mir-6820,0.01559,0.00025321
458,hsa-mir-6798,0.01791,0.00025251
459,hsa-mir-6762,0.02967,0.00025224
460,hsa-mir-6740,0.04539,0.00024914
461,hsa-mir-676,0.00677,0.00023207
462,hsa-mir-3680-1,0.02033,0.00023165
463,hsa-mir-4786,0.01265,0.00023137
464,hsa-mir-548j,0.01277,0.00022917
465,hsa-mir-4657,0.02873,0.00021699
466,hsa-mir-5706,0.0141,0.00021636
467,hsa-mir-5705,0.07026,0.00021145
468,hsa-mir-139,0.0045,0.00020956
469,hsa-mir-4763,0.02248,0.00020824
470,hsa-mir-4793,0.03409,0.00020819
471,hsa-mir-3678,0.01462,0.00020431
472,hsa-mir-4781,0.01837,0.0002038
473,hsa-mir-4713,0.01845,0.00019452
474,hsa-mir-4748,0.05232,0.00019274
475,hsa-mir-492,0.0391,0.00019137
476,hsa-mir-621,0.0607,0.00019023
477,hsa-mir-6814,0.02276,0.00018857
478,hsa-mir-6826,0.03629,0.00018568
479,hsa-mir-500a,0.00584,0.00018524
480,hsa-mir-935,0.00376,0.00018065
481,hsa-mir-4502,0.04823,0.00018024
482,hsa-mir-3174,0.01923,0.00018012
483,hsa-mir-548k,0.0159,0.00017912
484,hsa-mir-4779,0.06046,0.00017547
485,hsa-mir-5696,0.01642,0.00017481
486,hsa-mir-3161,0.01061,0.00017409
487,hsa-mir-6892,0.00793,0.00017082
488,hsa-mir-432,0.00314,0.00017023
489,hsa-mir-580,0.01044,0.0001683
490,hsa-mir-1275,0.01136,0.00016615
491,hsa-mir-125b-2,0.00347,0.00016089
492,hsa-mir-5684,0.01132,0.00016064
493,hsa-mir-206,0.00225,0.00015739
494,hsa-mir-4676,0.01068,0.00014918
495,hsa-mir-329-2,0.00516,0.00014522
496,hsa-mir-330,0.00493,0.00014476
497,hsa-mir-4661,0.00452,0.00014422
498,hsa-mir-629,0.00463,0.00013836
499,hsa-mir-548l,0.02747,0.00013757
500,hsa-mir-4739,0.02477,0.00013696
501,hsa-mir-1197,0.00891,0.00013653
502,hsa-mir-891a,0.00193,0.00013361
503,hsa-mir-4649,0.01771,0.00013082
504,hsa-mir-4658,0.01258,0.00013032
505,hsa-mir-6831,0.06058,0.00013001
506,hsa-mir-5687,0.01192,0.00012865
507,hsa-mir-607,0.01281,0.0001281
508,hsa-mir-636,0.01268,0.00012772
509,hsa-mir-1295a,0.00676,0.00012759
510,hsa-mir-3117,0.00749,0.00012724
511,hsa-mir-653,0.00367,0.00012542
512,hsa-mir-7156,0.00685,0.00012488
513,hsa-mir-548y,0.00776,0.00012238
514,hsa-mir-6715b,0.00691,0.00012036
515,hsa-mir-3651,0.00527,0.0001198
516,hsa-mir-6738,0.03006,0.00011919
517,hsa-mir-4771-1,0.03252,0.00011817
518,hsa-mir-3690-1,0.00742,0.00011633
519,hsa-mir-4685,0.0142,0.00011594
520,hsa-mir-6844,0.01596,0.00011568
521,hsa-mir-3130-1,0.00487,0.00010853
522,hsa-mir-6838,0.03825,0.00010712
523,hsa-mir-603,0.06646,0.00010633
524,hsa-mir-4665,0.01293,0.00010539
525,hsa-mir-6512,0.01277,0.00010486
526,hsa-mir-4524a,0.01644,0.00010396
527,hsa-mir-7111,0.03765,0.00010276
528,hsa-mir-1224,0.00343,0.00010268
529,hsa-mir-193b,0.00315,0.0001014
530,hsa-mir-3139,0.03251,9.97E-05
531,hsa-mir-6501,0.011,9.86E-05
532,hsa-mir-6812,0.02623,9.76E-05
533,hsa-mir-486-1,0.0027,9.73E-05
534,hsa-mir-584,0.00249,9.50E-05
535,hsa-mir-4680,0.01583,9.35E-05
536,hsa-mir-605,0.01023,9.19E-05
537,hsa-mir-100,0.00282,9.19E-05
538,hsa-mir-1323,0.00303,9.18E-05
539,hsa-mir-4640,0.01097,9.14E-05
540,hsa-mir-3912,0.00714,8.75E-05
541,hsa-mir-3136,0.00805,8.74E-05
542,hsa-mir-5088,0.03136,8.69E-05
543,hsa-mir-3689a,0.01809,8.68E-05
544,hsa-let-7f-1,0.00386,8.48E-05
545,hsa-mir-1343,0.00653,8.47E-05
546,hsa-mir-6726,0.0163,8.26E-05
547,hsa-mir-133b,0.00247,8.02E-05
548,hsa-mir-4446,0.00918,7.89E-05
549,hsa-mir-6746,0.02398,7.79E-05
550,hsa-mir-1286,0.02463,7.75E-05
551,hsa-mir-524,0.00339,7.68E-05
552,hsa-mir-4445,0.00972,7.62E-05
553,hsa-mir-1289-1,0.03287,7.60E-05
554,hsa-mir-4691,0.01399,7.45E-05
555,hsa-mir-3664,0.0069,7.40E-05
556,hsa-mir-4753,0.01769,7.34E-05
557,hsa-mir-4254,0.02931,7.28E-05
558,hsa-mir-3166,0.01833,7.16E-05
559,hsa-mir-6870,0.02197,7.05E-05
560,hsa-mir-6750,0.01422,6.43E-05
561,hsa-mir-296,0.00243,6.38E-05
562,hsa-mir-6087,0.01349,6.28E-05
563,hsa-mir-4521,0.00636,6.24E-05
564,hsa-mir-7112,0.00776,6.22E-05
565,hsa-mir-4423,0.00539,6.19E-05
566,hsa-mir-6734,0.01115,6.00E-05
567,hsa-mir-500b,0.00367,5.95E-05
568,hsa-mir-6894,0.01412,5.91E-05
569,hsa-mir-1248,0.00315,5.83E-05
570,hsa-mir-5685,0.0196,5.62E-05
571,hsa-mir-6728,0.00872,5.58E-05
572,hsa-mir-4690,0.01453,5.49E-05
573,hsa-mir-3936,0.01718,5.41E-05
574,hsa-mir-25,0.00384,5.37E-05
575,hsa-mir-3198-1,0.02694,4.88E-05
576,hsa-mir-3194,0.00758,4.83E-05
577,hsa-mir-5697,0.02226,4.75E-05
578,hsa-mir-1262,0.00451,4.74E-05
579,hsa-mir-6733,0.00815,4.61E-05
580,hsa-mir-4667,0.02107,4.41E-05
581,hsa-mir-548q,0.0112,4.11E-05
582,hsa-mir-4669,0.01955,4.06E-05
583,hsa-mir-1237,0.01574,4.00E-05
584,hsa-mir-517a,0.00157,3.88E-05
585,hsa-mir-4660,0.00554,3.76E-05
586,hsa-mir-6804,0.01819,3.65E-05
587,hsa-mir-548t,0.00744,3.64E-05
588,hsa-mir-3154,0.00913,3.59E-05
589,hsa-mir-873,0.00332,3.56E-05
590,hsa-mir-548ba,0.00723,3.48E-05
591,hsa-let-7a-3,0.00338,3.38E-05
592,hsa-mir-6736,0.01664,3.30E-05
593,hsa-mir-6887,0.01282,3.27E-05
594,hsa-mir-3680-2,0.01033,3.19E-05
595,hsa-mir-6743,0.01482,3.12E-05
596,hsa-mir-23c,0.00503,3.10E-05
597,hsa-mir-1-2,0.00121,3.06E-05
598,hsa-mir-4306,0.01439,2.84E-05
599,hsa-mir-6860,0.00579,2.80E-05
600,hsa-mir-549a,0.00438,2.79E-05
601,hsa-mir-6855,0.00908,2.74E-05
